Date,Close
7/1/2015,39.27
7/2/2015,41.29
7/6/2015,39.91
7/7/2015,39.71
7/8/2015,39.15
7/9/2015,39.13
7/10/2015,39.9
7/13/2015,39.96
7/14/2015,40.33
7/15/2015,40.04
7/16/2015,39.54
7/17/2015,39.12
7/20/2015,38.75
7/21/2015,38.73
7/22/2015,37.91
7/23/2015,37.3
7/24/2015,36.57
7/27/2015,36.05
7/28/2015,37.29
7/29/2015,37.39
7/30/2015,37.68
7/31/2015,36.97
8/3/2015,36.48
8/4/2015,36.54
8/5/2015,35.87
8/6/2015,35.88
8/7/2015,35.68
8/10/2015,36.28
8/11/2015,36.05
8/12/2015,36.44
8/13/2015,35.92
8/14/2015,35.77
8/17/2015,35.53
8/18/2015,35.25
8/19/2015,34.66
8/20/2015,34.38
8/21/2015,33.17
8/24/2015,31.19
8/25/2015,30.71
8/26/2015,31.1
8/27/2015,33.03
8/28/2015,33.26
8/31/2015,33.54
9/1/2015,32.14
9/2/2015,32.2
9/3/2015,32.41
9/4/2015,30.7
9/8/2015,31.41
9/9/2015,30.9
9/10/2015,31.21
9/11/2015,31.01
9/14/2015,30.68
9/15/2015,31.11
9/16/2015,32.13
9/17/2015,32.11
9/18/2015,31.09
9/21/2015,31.06
9/22/2015,30.39
9/23/2015,29.92
9/24/2015,30.16
9/25/2015,30.43
9/28/2015,29.38
9/29/2015,29.63
9/30/2015,30.56
10/1/2015,30.96
10/2/2015,32.52
10/5/2015,33.49
10/6/2015,34.31
10/7/2015,35.71
10/8/2015,35.96
10/9/2015,35.96
10/12/2015,35.37
10/13/2015,34.73
10/14/2015,35.32
10/15/2015,35.68
10/16/2015,35.86
10/19/2015,34.94
10/20/2015,34.97
10/21/2015,35.14
10/22/2015,35.92
10/23/2015,35.72
10/26/2015,35.05
10/27/2015,34.82
10/28/2015,35.74
10/29/2015,35.71
10/30/2015,35.7
11/2/2015,36.28
11/3/2015,37.23
11/4/2015,36.36
11/5/2015,35.55
11/6/2015,35.13
11/9/2015,34.88
