Date,Close
7/1/2015,1671
7/2/2015,1778
7/6/2015,1759
7/7/2015,1495
7/8/2015,1391
7/9/2015,1434
7/10/2015,1436
7/13/2015,1542
7/14/2015,1491
7/15/2015,1412
7/16/2015,1393
7/17/2015,1216
7/20/2015,796
7/21/2015,870
7/22/2015,846
7/23/2015,759
7/24/2015,888
7/27/2015,795
7/28/2015,850
7/29/2015,902
7/30/2015,811
7/31/2015,857
8/3/2015,780
8/4/2015,802
8/5/2015,746
8/6/2015,802
8/7/2015,788
8/10/2015,925
8/11/2015,1013
8/12/2015,1260
8/13/2015,1035
8/14/2015,1028
8/17/2015,1104
8/18/2015,1022
8/19/2015,1128
8/20/2015,1246
8/21/2015,1106
8/24/2015,845
8/25/2015,777
8/26/2015,655
8/27/2015,782
8/28/2015,899
8/31/2015,881
9/1/2015,800
9/2/2015,787
9/3/2015,745
9/4/2015,767
9/8/2015,803
9/9/2015,716
9/10/2015,708
9/11/2015,735
9/14/2015,752
9/15/2015,747
9/16/2015,875
9/17/2015,968
9/18/2015,958
9/21/2015,867
9/22/2015,775
9/23/2015,761
9/24/2015,878
9/25/2015,819
9/28/2015,715
9/29/2015,719
9/30/2015,752
10/1/2015,705.6
10/2/2015,843.6
10/5/2015,888.2
10/6/2015,959
10/7/2015,960.4
10/8/2015,904.4
10/9/2015,1038.6
10/12/2015,1006.4
10/13/2015,984.4
10/14/2015,1201.4
10/15/2015,1218
10/16/2015,1096.8
10/19/2015,947.8
10/20/2015,1055.8
10/21/2015,976.6
10/22/2015,994.4
10/23/2015,1082
10/26/2015,1001.4
10/27/2015,985.6
10/28/2015,944.2
10/29/2015,812
10/30/2015,796.6
11/2/2015,798.6
11/3/2015,792.4
11/4/2015,756
11/5/2015,710
11/6/2015,623.8
11/9/2015,667.6
11/10/2015,630.2
11/11/2015,654.2
11/12/2015,640.2
11/13/2015,655.6
11/16/2015,669
11/17/2015,587.6
11/18/2015,618.6
11/19/2015,671.4
11/20/2015,603.6
11/23/2015,589.6
11/24/2015,631.2
11/25/2015,634.6
11/27/2015,596.4
11/30/2015,613
12/1/2015,654.6
12/2/2015,611.8
12/3/2015,653
12/4/2015,730
12/7/2015,651.4
12/8/2015,640
12/9/2015,665.6
12/10/2015,656.2
12/11/2015,670.4
12/14/2015,599.2
12/15/2015,606.6
12/16/2015,689.4
12/17/2015,581.2
12/18/2015,623.8
12/21/2015,647.8
12/22/2015,641.2
12/23/2015,663.4
12/24/2015,715.8
12/28/2015,645.2
12/29/2015,667.6
12/30/2015,618.8
12/31/2015,621
1/4/2016,678.4
1/5/2016,684.8
1/6/2016,718.6
1/7/2016,768
1/8/2016,704.2
1/11/2016,626
1/12/2016,576
1/13/2016,569.2
1/14/2016,509.4
1/15/2016,499.2
1/19/2016,428
1/20/2016,452.6
1/21/2016,456.2
1/22/2016,471
1/25/2016,493.4
1/26/2016,560
1/27/2016,590.8
1/28/2016,554.2
1/29/2016,587
2/1/2016,638.2
2/2/2016,595.2
2/3/2016,680.4
2/4/2016,746.8
2/5/2016,856.66
2/8/2016,966
2/9/2016,842.8
2/10/2016,877.4
2/11/2016,1107
2/12/2016,1229.2
2/16/2016,916.2
2/17/2016,1031.2
2/18/2016,1261.2
2/19/2016,1146.6
2/22/2016,1095.2
2/23/2016,1134.6
2/24/2016,1209.6
2/25/2016,1290
2/26/2016,1163.6
2/29/2016,1304
3/1/2016,1167.6
3/2/2016,1261.2
3/3/2016,1501.6
3/4/2016,1471
3/7/2016,1663.8
3/8/2016,1428
3/9/2016,1408
3/10/2016,1577
3/11/2016,1432.2
3/14/2016,1284.2
3/15/2016,1320.4
3/16/2016,1634.2
3/17/2016,1510.4
3/18/2016,1598.2
3/21/2016,1616.8
3/22/2016,1652
3/23/2016,1323.6
3/24/2016,1345.2
3/28/2016,1332.8
3/29/2016,1585.4
3/30/2016,1505.8
3/31/2016,1471.8
4/1/2016,1533.6
4/4/2016,1414.6
4/5/2016,1528.8
4/6/2016,1547.8
4/7/2016,1670.8
4/8/2016,1865.4
4/11/2016,2253.6
4/12/2016,2341
4/13/2016,2184.6
4/14/2016,1981.2
4/15/2016,2230.8
4/18/2016,2260
4/19/2016,2758.4
4/20/2016,2456.8
4/21/2016,2656.8
4/22/2016,2429.2
4/25/2016,2362
4/26/2016,2625.2
4/27/2016,2686
4/28/2016,3042
4/29/2016,3578.2
5/2/2016,3417.2
5/3/2016,3113.4
5/4/2016,2563.8
5/5/2016,2803.6
5/6/2016,3254.8
5/9/2016,2523.2
5/10/2016,2799.6
5/11/2016,3089.8
5/12/2016,2975
5/13/2016,3038
5/16/2016,3250.6
5/17/2016,3548.4
5/18/2016,2693.6
5/19/2016,2782.4
5/20/2016,2878.6
5/23/2016,2726.6
5/24/2016,2129.2
5/25/2016,2360.2
5/26/2016,2309.6
5/27/2016,1982.4
5/31/2016,2157
6/1/2016,2126.6
6/2/2016,2134.2
6/3/2016,2923.4
6/6/2016,3073
6/7/2016,2948
6/8/2016,3347.8
6/9/2016,3547.6
6/10/2016,3358.2
6/13/2016,3403
6/14/2016,3199.6
6/15/2016,3619.4
6/16/2016,3281.4
6/17/2016,3427
6/20/2016,3522.8
6/21/2016,3200.6
6/22/2016,3270
6/23/2016,3269.6
6/24/2016,3751
6/27/2016,3769.2
6/28/2016,3551.8
6/29/2016,3836.6
6/30/2016,3982
7/1/2016,4760.8
7/5/2016,5185
7/6/2016,5877.4
7/7/2016,5272.4
7/8/2016,6018.2
7/11/2016,6120.4
7/12/2016,5360.6
7/13/2016,6077
7/14/2016,6030.8
7/15/2016,5705.6
7/18/2016,5695
7/19/2016,5321.2
7/20/2016,4117.2
7/21/2016,4725.6
7/22/2016,4578.4
7/25/2016,3956
7/26/2016,4382.4
7/27/2016,5102.6
7/28/2016,5198.4
7/29/2016,5833.2
8/1/2016,6131.6
8/2/2016,6100
8/3/2016,5966.8
8/4/2016,6210.6
8/5/2016,5567.4
8/8/2016,5850.6
8/9/2016,6014.6
8/10/2016,6319.4
8/11/2016,6124.2
8/12/2016,6141.4
8/15/2016,6122
8/16/2016,6198.6
8/17/2016,5990.8
8/18/2016,6336.2
8/19/2016,5747.4
8/22/2016,5360
8/23/2016,5008.4
8/24/2016,3817.8
8/25/2016,4198
8/26/2016,4092
8/29/2016,4120
8/30/2016,3456
8/31/2016,3194
9/1/2016,3634
9/2/2016,4274
9/6/2016,5128
9/7/2016,4946
9/8/2016,4666
9/9/2016,3686
9/12/2016,4180
9/13/2016,3644
9/14/2016,3686
9/15/2016,3720
9/16/2016,3470
9/19/2016,3598
9/20/2016,3612
9/21/2016,4436
9/22/2016,4218
9/23/2016,3778
9/26/2016,3640
9/27/2016,3398
9/28/2016,3692
9/29/2016,3600
9/30/2016,3486
10/3/2016,3304
10/4/2016,2276
10/5/2016,2270
10/6/2016,1986
10/7/2016,2082
10/10/2016,2166
10/11/2016,1956
10/12/2016,2094
10/13/2016,2242
10/14/2016,2070
10/17/2016,2158
10/18/2016,2472
10/19/2016,2722
10/20/2016,2684
10/21/2016,2688
10/24/2016,2484
10/25/2016,2694
10/26/2016,2494
10/27/2016,2276
10/28/2016,2264
10/31/2016,2432
11/1/2016,2686
11/2/2016,2544
11/3/2016,2740
11/4/2016,2598
11/7/2016,2278
11/8/2016,2186
11/9/2016,2328
11/10/2016,1822
11/11/2016,1380
11/14/2016,1456
11/15/2016,1680
11/16/2016,1522
11/17/2016,1392
11/18/2016,1380
11/21/2016,1462
11/22/2016,1530
11/23/2016,1286
11/25/2016,1280
11/28/2016,1436
11/29/2016,1414
11/30/2016,1338
12/1/2016,1320
12/2/2016,1462
12/5/2016,1480
12/6/2016,1464
12/7/2016,1526
12/8/2016,1530
12/9/2016,1300
12/12/2016,1302
12/13/2016,1322
12/14/2016,1078
12/15/2016,884
12/16/2016,844
12/19/2016,848
12/20/2016,856
12/21/2016,826
12/22/2016,828
12/23/2016,860
12/27/2016,956
12/28/2016,1048
12/29/2016,1336
12/30/2016,1116
1/3/2017,1324
1/4/2017,1388
1/5/2017,1748
1/6/2017,1514
1/9/2017,1584
1/10/2017,1688
1/11/2017,1696
1/12/2017,1658
1/13/2017,1674
1/17/2017,1840
1/18/2017,1670
1/19/2017,1656
1/20/2017,1712
1/23/2017,1834
1/24/2017,1780
1/25/2017,1736
1/26/2017,1584
1/27/2017,1674
1/30/2017,1662
1/31/2017,1786
2/1/2017,1832
2/2/2017,1954
